"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"2610","Чемпионат Ростовской области. Высшая лига","Ростов-на-Дону","Открытый чемпионат Ростовской области по игре ""Что? Где? Когда?"". Сезон 2013/2014. Высшая лига","2013-11-17 00:00:00","2014-04-27 00:00:00","2","15","","270","Обычный","0","","","","","http://www.chgk.aaanet.ru/Glavnaja","",""
"2101","Олимпийский кубок Ростова","Ростов-на-Дону","","2012-05-06 00:00:00","2012-05-06 00:00:00","5","12","","60","Региональный","","","","","","","",""
"1946","Краснодарский рождественский турнир","Краснодар","","2012-01-07 00:00:00","2012-01-07 00:00:00","4","15","","60","Обычный","","","","","","","",""
"1898","Чемпионат Ростовской области. Высшая лига","Ростов-на-Дону","","2010-10-24 00:00:00","2011-06-19 00:00:00","0","0","","0","Региональный","","","","","","","",""
"669","Чемпионат Ростовской области","Ростов-на-Дону","","2009-10-01 00:00:00","2010-05-30 00:00:00","","","","","Обычный","","","","","","","",""
"581","Кубок ДоДона","Ростов-на-Дону","","2010-01-30 00:00:00","2010-01-31 00:00:00","","","","","Обычный","","","","","","","",""
"555","Гвидон","Ростов-на-Дону","","2009-11-29 00:00:00","2009-11-29 00:00:00","","","","","Обычный","","","","","","","",""
"3617","Чемпионат Саратова","","Чемпионат Саратова - 2014","2014-10-05 14:00:00","2014-12-23 19:00:00","19","15","","285","Обычный","0","0","","","","","",""
"2752","Поволжская лига. Волгоград - Нижний Новгород","","Поволжская лига по ""Что? Где? Когда?"". Волгоград - Нижний Новгород","2014-04-13 00:00:00","2014-04-13 00:00:00","2","20","","40","Синхрон","0","","","2014-04-09","","","",""
"2677","Чемпионат Саратова","Саратов","Регулярный чемпионат Саратова по ""Что? Где? Когда?"" 2013 года","2013-10-06 00:00:00","2013-11-24 00:00:00","6","15","","90","Региональный","0","","","","","http://chgk.volgaint.ru/","",""
"2415","Окский съезд 2","Нижний Новгород","","2013-05-26 00:00:00","2013-05-26 00:00:00","3","15","","45","Обычный","","","","","","","",""
"2351","Окский съезд","Нижний Новгород","","2013-05-25 00:00:00","2013-05-25 00:00:00","3","15","","45","Обычный","","","","","","","",""
"2342","Поволжская лига. Волгоград","","","2013-02-24 00:00:00","2013-02-24 00:00:00","3","15","","45","Синхрон","","","","","","","",""
"2224","Чемпионат Саратова","Саратов","","2012-10-07 00:00:00","2012-11-25 00:00:00","0","0","","0","Региональный","","","","","","","",""
"2088","Самариум","Самара","","2012-11-10 00:00:00","2012-11-11 00:00:00","3","24","","72","Обычный","","","","","","http://znatok63.ru/samarium/386-samarium-2012","",""
"2056","Поволжская лига. Саранск","","","2012-03-25 00:00:00","2012-03-25 00:00:00","3","15","","45","Синхрон","","","","","","","",""
"2058","Поволжская лига. Казань","","","2012-02-19 00:00:00","2012-02-19 00:00:00","3","15","","45","Синхрон","","","","","","","",""
"2042","Поволжская лига. Волгоград","","","2012-01-22 00:00:00","2012-01-22 00:00:00","3","15","","45","Синхрон","","","","","","","",""
"1976","Чемпионат Саратова","Саратов","","2011-10-09 00:00:00","2011-11-20 00:00:00","0","0","","0","Региональный","","","","","","","",""
